graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0.003","16","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0.003","14","8.7172e-7","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0.002","14","8.7172e-7","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","7","0.001","4","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","7","0","1","0","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","7","0","0","0","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","6","8","0.001","4","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","6","8","0","2","0","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","6","8","0","2","0","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0.001","5","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0","2","5.9605e-8","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0","2","5.9605e-8","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0","4","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0","2","5.9605e-8","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5","8","0","2","5.9605e-8","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5","10","0.006","32","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5","10","0.005","30","0.0000030361","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5","10","0.005","30","0.0000030361","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","10","0.004","26","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","10","0.003","21","5.9605e-7","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","10","0.002","21","5.9605e-7","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","12","0.007","35","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","12","0.006","27","0.0000035912","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","12","0.005","27","0.0000035912","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.005","33","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.012","65","0.0000071079","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.011","65","0.0000071079","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.002","19","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.004","17","2.1607e-7","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","6","13","0.002","17","2.1607e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","12","0.005","40","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","12","0","1","7.0035e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","12","0","0","0","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","9","14","0.006","40","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","9","14","0.009","61","0.0000051558","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","9","14","0.009","61","0.0000051558","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","40","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","36","9.8348e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","36","9.8348e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.004","31","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.006","32","1.3784e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.004","32","1.3784e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","34","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","35","7.8604e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8","13","0.005","35","7.8604e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.004","30","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.004","29","4.9546e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.004","29","4.9546e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","18","0.009","57","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","18","0.009","57","3.7625e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","18","0.009","57","3.7625e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","25","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","25","4.5262e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","25","4.5262e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","22","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","23","2.0117e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8","16","0.003","23","2.0117e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","16","0.003","24","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","16","0.004","25","7.7486e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","9","16","0.004","25","7.7486e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.008","52","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.008","51","1.9372e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.008","51","1.9372e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.003","19","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.003","21","1.9372e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.003","21","1.9372e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.004","29","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.004","28","6.482e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","19","0.004","28","6.482e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20","0.006","26","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20","0.004","27","6.184e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20","0.004","27","6.184e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.009","56","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.01","62","5.8115e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","22","0.01","62","5.8115e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.02","56","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.031","53","6.6124e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.018","53","6.6124e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.013","39","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.011","32","7.8045e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.011","32","7.8045e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.016","45","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.014","40","5.6438e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21","36","0.017","40","5.6438e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.016","44","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.013","38","6.5938e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.013","38","6.5938e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.017","46","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.015","40","8.7917e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","22","36","0.013","40","8.7917e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","23","39","0.01","46","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","23","39","0.007","37","7.4692e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","23","39","0.007","37","7.4692e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.01","56","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.01","58","3.3528e-8","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.01","58","3.3528e-8","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.01","56","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.01","56","5.2061e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.009","56","5.2061e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.008","47","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.008","45","1.6764e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21","40","0.007","45","1.6764e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","22","40","0.01","57","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","22","40","0.009","55","1.1269e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","22","40","0.009","55","1.1269e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","46","0.01","51","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","46","0.009","50","1.5832e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","46","0.009","50","1.5832e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.011","57","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.011","58","0.0000012573","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.011","58","0.0000012573","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","45","0.01","57","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","45","0.009","51","3.5297e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","45","0.009","51","3.5297e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","44","0.009","48","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","44","0.009","49","0.000010961","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","22","44","0.009","49","0.000010961","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.009","47","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.01","53","0.0000078883","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","24","46","0.01","53","0.0000078883","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","7","12","0","19","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","7","12","0","19","1.3411e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","7","12","0","19","1.3411e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0","17","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0","14","6.2585e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0","14","6.2585e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0","18","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0.005","61","0.0000051707","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0.002","61","0.0000051707","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","11","0","17","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","11","0","1","2.1234e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","11","0","0","0","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0.001","37","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0.001","37","4.3958e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6","12","0.001","37","4.3958e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0.001","37","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0.001","40","1.8626e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0.001","40","1.8626e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","17","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0.002","62","0.0000054538","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0.002","62","0.0000054538","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","40","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","39","5.3644e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","39","5.3644e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","44","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","44","1.9372e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","44","1.9372e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","19","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","18","5.5134e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","18","5.5134e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","18","0","21","0","pagerankStatic"
