graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5.2","7.8","0.0012000000000000001","6.6","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5.2","7.8","0.0006000000000000001","4.2","1.9818599999999997e-7","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","1","5.2","7.8","0.0004","4","1.9818599999999997e-7","pagerankDynamic [skip-comp]"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5.8","11.6","0.0048000000000000004","29","0","pagerankStatic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5.8","11.6","0.006","32","0.000002909464","pagerankDynamic"
"min-1DeadEnd","5","6","0","4","0","pagerankMonolithic","5","5.8","11.6","0.005","32","0.000002909464","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8.2","13","0.005","37","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8.2","13","0.004999999999999999","33","0.000001552702","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","1","8.2","13","0.0046","32.8","0.000001412632","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8.4","16.4","0.004399999999999999","31.6","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8.4","16.4","0.0046","31.8","4.60072e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","5","8.4","16.4","0.0046","31.8","4.60072e-7","pagerankDynamic [skip-comp]"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20.4","0.006","36.4","0","pagerankStatic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20.4","0.0058","37.8","4.47038e-7","pagerankDynamic"
"min-2SCC","8","12","0.005","40","0","pagerankMonolithic","10","9","20.4","0.0058","37.8","4.47038e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21.4","36","0.0164","46","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21.4","36","0.0168","40.6","7.089239999999999e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","1","21.4","36","0.0144","40.6","7.089239999999999e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21.6","39.8","0.009600000000000001","52.4","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21.6","39.8","0.0088","50.2","3.162776e-7","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","5","21.6","39.8","0.008400000000000001","50.2","3.162776e-7","pagerankDynamic [skip-comp]"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","45.4","0.0098","52","0","pagerankStatic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","45.4","0.009600000000000001","52.2","0.0000041235780000000005","pagerankDynamic"
"min-4SCC","21","35","0.016","45","0","pagerankMonolithic","10","23","45.4","0.009600000000000001","52.2","0.0000041235780000000005","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6.2","11.8","0.0002","21.6","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6.2","11.8","0.0012000000000000001","26.4","0.000001316516","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","1","6.2","11.8","0.0006000000000000001","26.2","0.000001274048","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","15.2","0.0006000000000000001","31.4","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","15.2","0.001","40.6","0.0000013843120000000001","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","15.2","0.001","40.6","0.0000013843120000000001","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17.8","0.0008","31.6","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17.8","0.0008","32","2.540624e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17.8","0.0008","32","2.540624e-7","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903.6","2312670","288.7838","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903.6","2312670","11.9432","2.6","0.000004741339999999999","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903.6","2312670","11.206599999999998","2.4","0.00000481216","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903.6","2312674.6","283.5688","55.2","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903.6","2312674.6","41.0626","7.2","0.00000574156","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903.6","2312674.6","40.628600000000006","6.6","0.00000589324","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10","281905","2312680","287.039","55.4","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10","281905","2312680","52.546400000000006","8.6","0.00000512948","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10","281905","2312680","51.863200000000006","8.4","0.0000051859600000000006","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","50","281911.8","2312723.6","287.1986","55.2","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","50","281911.8","2312723.6","75.264","12.4","0.000005696659999999999","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","50","281911.8","2312723.6","74.761","12.4","0.0000057511","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","100","281919.6","2312777.8","291.6062","56","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","100","281919.6","2312777.8","97.839","16.4","0.00000571874","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","100","281919.6","2312777.8","97.57419999999999","16","0.0000057523","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","500","281999.4","2313216.8","300.08680000000004","57","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","500","281999.4","2313216.8","144.393","25","0.000005613900000000001","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","500","281999.4","2313216.8","144.4688","25","0.0000056221","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1000","282100.4","2313765.4","305.4826","57.2","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1000","282100.4","2313765.4","172.3028","30.2","0.000006130420000000001","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1000","282100.4","2313765.4","171.8172","30.2","0.000006130339999999999","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5000","282786.4","2318109.8","319.80060000000003","58","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5000","282786.4","2318109.8","222.5592","39.8","0.000006505440000000001","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5000","282786.4","2318109.8","222.381","39.8","0.0000065049999999999996","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10000","283684.6","2323537.2","328.964","58.2","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10000","283684.6","2323537.2","250.695","43.6","0.0000060296","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","10000","283684.6","2323537.2","249.6326","43.6","0.00000602962","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","50000","289659.8","2366234.4","355.7586","55.2","0","pagerankStatic"
